Order,id,kanji_name,kanji_meaning,strokes,grade,newspaper_frequency,jlpt_level,jinmeiyo,twitter_frequency,aozora_frequency,wikipedia_frequency,news_frequency,sum,missing_column,# strokes bonus,TOTAL SCORE,top 100,,top 100 bonus,Not Jouyou Penalty
272,2160,青,blue,8,1,736,4,0,378,115,386,475,968,no,0,968,,,0,0
273,233,確,certain,15,5,449,3,0,186,561,393,222,969,no,0,969,,,0,0
274,2047,利,profit,7,4,14,3,0,472,270,85,229,971,no,0,971,,,0,0
275,1254,想,concept,13,3,182,3,0,369,211,634,393,973,no,0,973,,,0,0
276,128,横,side,15,3,467,3,0,199,337,446,438,974,no,0,974,,,0,0
277,607,交,mix,6,2,362,3,0,289,482,232,204,975,no,0,975,,,0,0
278,736,昨,previous,9,4,335,3,0,143,634,2156,201,978,no,0,978,,,0,0
279,1122,制,control,8,5,225,3,0,447,406,170,126,979,no,0,979,,,0,0
280,1560,特,special,10,4,123,4,0,381,354,121,247,982,no,0,982,,,0,0
281,310,顔,face,18,2,937,3,0,177,93,1024,712,982,no,0,982,,,0,0
282,17,悪,bad,11,3,988,4,0,132,194,668,664,990,no,0,990,,,0,0
283,670,谷,valley,7,2,678,2,0,181,467,309,350,998,no,0,998,,,0,0
284,1375,置,put,13,4,163,3,0,512,219,188,279,1010,no,0,1010,,,0,0
285,299,観,observe,18,4,433,3,0,334,311,447,365,1010,no,0,1010,,,0,0
286,62,員,member,10,3,498,4,0,316,626,151,73,1015,no,0,1015,,,0,0
287,608,光,ray,6,2,858,3,0,434,192,308,395,1021,no,0,1021,,,0,0
288,1611,能,ability,10,5,111,3,0,412,364,189,252,1028,no,0,1028,,,0,0
289,360,議,deliberation,20,4,419,3,0,627,338,138,70,1035,no,0,1035,,,0,0
290,129,岡,hill,8,10,469,,1,107,709,185,226,1042,no,0,1042,,,0,0
291,1639,買,buy,12,2,619,4,0,79,493,1056,471,1043,no,0,1043,,,0,0
292,1820,返,return,7,3,578,3,0,298,224,848,522,1044,no,0,1044,,,0,0
293,1210,然,so,12,4,213,3,0,239,75,675,731,1045,no,0,1045,,,0,0
294,1996,優,superior,17,6,31,3,0,211,649,175,192,1052,no,0,1052,,,0,0
295,1544,藤,wisteria,18,10,134,1,1,371,427,205,255,1053,no,0,1053,,,0,0
296,406,共,together,6,4,409,3,0,626,344,187,85,1055,no,0,1055,,,0,0
297,1605,念,thought,8,4,110,3,0,388,294,494,375,1057,no,0,1057,,,0,0
298,1222,組,association,11,2,198,3,0,400,517,128,145,1062,no,0,1062,,,0,0
299,571,呼,call,8,6,369,3,0,249,277,373,543,1069,no,0,1069,,,0,0
300,726,際,occasion,14,5,331,3,0,495,355,226,224,1074,no,0,1074,,,0,0
301,561,限,limit,9,5,367,3,0,209,417,412,449,1075,no,0,1075,,,0,0
302,383,急,hurry,9,3,421,4,0,307,298,445,470,1075,no,0,1075,,,0,0
303,1040,色,color,6,2,743,4,0,214,132,340,732,1078,no,0,1078,,,0,0
304,1694,比,compare,4,5,87,2,0,660,605,569,292,1557,no,472,1085,,,0,0
305,152,果,fruit,8,4,478,3,0,414,331,345,341,1086,no,0,1086,,,0,0
306,669,告,tell,7,4,345,3,0,509,358,558,221,1088,no,0,1088,,,0,0
307,1029,常,normal,11,5,230,3,0,444,231,352,416,1091,no,0,1091,,,0,0
308,1737,病,sick,10,3,98,4,0,356,288,563,451,1095,no,0,1095,,,0,0
309,837,式,style,6,3,291,3,0,546,324,104,227,1097,no,0,1097,,,0,0
